Document Number,Alternate Numbering,Doc Type,Given At,Given At Certainty,Earliest Date,Latest Date,DATE,Date notes,Given at_old,COMMENTS,QUOTE_TRANSCRIPTION
HCM 2871,HCM 2871,NOTARIAL INSTRUMENT,London St. Paul's Old Deanery,Documented,1307-02-09T00:00:00Z,,"1306/7,  5 Id. Feb. [Feb. 9]",,house of the dean of St. Paul's,,"1306/7, 5 Id. Feb. [Feb. 9], NOTARIAL INSTRUMENT"
HCM 2872,"RBLR 1101, HCM 2872",INDULGENCE,Hereford,Documented,1311-01-12T00:00:00Z,,"1310/11,  Tuesday next after the Feast of the Epiphany [Jan. 12].",,Hereford,ALSO in RBLR,"1310/11, Tuesday next after the Feast of the Epiphany [Jan. 12]., INDULGENCE"
HCM 2873,"RBLR 1103, HCM 2873",RELEASE,(Hereford),Suggested,1311-04-25T00:00:00Z,,"1311,  Sunday,  the Feast of St. Mark the Evangelist [April 25].",,Hereford,property in and people of|ALSO in RBLR,"1311, Sunday, the Feast of St. Mark the Evangelist [April 25]., RELEASE"
HCM 2874,HCM 2874,GRANT,Hereford,Documented,1312-11-05T00:00:00Z,,"1312,  Sunday next after the Feast of All Saints [November 5]",,Hereford,,"1312, Sunday next after the Feast of All Saints [November 5], GRANT"
HCM 2875,HCM 2875,QUITTANCE,chapter-house at Hereford,Documented,1313-01-20T00:00:00Z,,"1312/3,  Saturday,  the Feast of SS. Fabian and Sebastian [Jan. 20]",,chapter-house at Hereford,,"1312/3, Saturday, the Feast of SS. Fabian and Sebastian [Jan. 20], QUITTANCE"
HCM 2876,HCM 2876,GRANT,(Hereford),Suggested,1314-02-10T00:00:00Z,,"1313/4,  February 10",,,Unknown,"1313/4, February 10,, GRANT"
HCM 2877,HCM 2877,INJUNCTION,Hereford Cathedral,Documented,1316-02-27T00:00:00Z,,"1315/6,  Friday next after the Feast of St. Matthias the Apostle [February 27]",,greater church of Hereford,,"1315/6, Friday next after the Feast of St. Matthias the Apostle [February 27], INJUNCTION"
HCM 2878,HCM 2878,RELEASE,Bosbury Herefordshire Bishops Palace Old Court Farm,Documented,1316-08-27T00:00:00Z,,"1316,  Friday next after the Feast of St. Bartholomew the Apostle [August 27].",,Bosebury,,"1316, Friday next after the Feast of St. Bartholomew the Apostle [August 27]., RELEASE"
HCM 2879,HCM 2879,RELEASE,Hereford,Documented,1317-04-05T00:00:00Z,,"1317,  Tuesday next after the Feast of Easter [April 5]",,Hereford,,"1317, Tuesday next after the Feast of Easter [April 5], RELEASE"
HCM 2880,HCM 2880,ROYAL MANDATE,Westminster,Documented,1317-05-26T00:00:00Z,,"1317,  May 26",,Westminster,,"1317, May 26, ROYAL MANDATE"
HCM 2881,HCM 2881,GRANT,(Hereford),Suggested,1300-01-01T00:00:00Z,1325-12-31T00:00:00Z,Early 14th century.,early 14th century,,Garlecroft = Green Croft Hereford?,"Early 14th century., GRANT"
HCM 2882,HCM 2882,GRANT,(Oxwich Gower Peninsula),Suggested,1320-01-12T00:00:00Z,,"1319/20,  January 12. .",,,GRANT|looks like its the village / castle in Glamorgan on Gower Peninsula,"1319/20, January 12. ., GRAN?"
HCM 2883,HCM 2883,PROBATE,(Hereford),Suggested,1320-03-20T00:00:00Z,,"1519/20,  Thursday,  the Feast of St * — Guthbert {sic}‘itarch 20]., ash Wednesday,  1319/20",,Hereford (check Charters & Records),"1319/20, March 20, (Date of will, embedded text in probate), 1319/20, March 20, text available via HathiTrust edition, date of will; main date in document = date of Probate, check long version","1519/20, Thursday, the Feast of St * — Guthbert {sic}‘itarch 20]., PROBATE, Will, ash Wednesday, 1319/20, 1519/20, Thursday, the Feast of St * — Guthbert {sic}‘itarch 20]., PROBATE, ash Wednesday, 1319/20, 186-190}"
HCM 2884,HCM 2884,RELEASE,Llandaff Castle,Documented,1323-06-08T00:00:00Z,,"1323,  6 Id,  Jun. |June 8",,anaaff.,aka Old Bishop's Palace,"1323, 6 Id, Jun. |June 8,, RELEASE"
HCM 2885,HCM 2885,MEMORANDUM,Hereford,Documented,1324-08-28T00:00:00Z,,"1324,  Tuesday next after the Feast of &t. Bartholomew ,  August 28].",,Hereford,,"1324, Tuesday next after the Feast of &t. Bartholomew , August 28]., MEMORANDUM"
HCM 2886,HCM 2886,APPOINTMENT,(Hereford),Suggested,1324-01-01T00:00:00Z,1332-12-31T00:00:00Z,Lgires 1324 - 1332.,approx,,involves D&C & archdeacon,"Lgires 1324 - 1332., APPOINTMENT"
HCM 2887,HCM 2887,RECORD,Hereford Bishop's Chapel of St Katherine,Documented,1333-02-25T00:00:00Z,,"1332/3,  5 Kal,  March |February 25).",,chapel of St Katherine at Hereford,aka Bishop's Chapel,"1332/3, 5 Kal, March |February 25)., RECGRD"
HCM 2888,HCM 2888,ASSIGNMENT,Llanthony Secunda Priory Gloucester,Documented,1335-05-08T00:00:00Z,,"1335,  May 8",,Lanthon'.,,"1335, May 8,, ASSIGNMENT"
HCM 29,"RBLR 2004, HCM 29",RELEASE,Hereford,Documented,1320-12-17T00:00:00Z,,"1320,  Wednesday next after the Feast of St. lucia the Virgin (December 17",,Hereford,,"1320, Wednesday next after the Feast of St. lucia the Virgin (December 17, RELEASE"
HCM 290,HCM 290,RELEASE,Hereford,Documented,1313-01-15T00:00:00Z,,"1312/3,  Monday next after the Feast of St. Hillary [January 15].",,Hereford,"1329, July 1","1312/3, Monday next after the Feast of St. Hillary [January 15]., RELEASE, 1529, Saturday next after the Feast of ,  Saints Peter and Paul the Apostles \July iI., LEASE"
HCM 2914,HCM 2914,LEASE,(Hereford),Suggested,1329-07-01T00:00:00Z,,,,,Hereford D&C & canon = principals,added manually
HCM 2915,HCM 2915,NOTARIAL INSTRUMENT,Norton Canon Herefordshire,Documented,1347-07-29T00:00:00Z,,"1347,  July 29.",,,,"1347, July 29., NOTARIAL INSTRUMENT"
HCM 292,HCM 292,CONDITION,Ledbury,Documented,1361-12-05T00:00:00Z,,"1361,  Sunday next after the Feast of St,  ,   Andrew the Apostle [December Sie",,Ledbury,"HCM 294 is desc as ""counterpart of HCM 292""--does that mean another person's copy of the same doc? how to treat?, December 5","HCM 292, 1361, Sunday next after the Feast of St, ,  Andrew the Apostle [December Sie, CONDITION"
HCM 2925,HCM 2925,LEASE,chapter-house at Hereford,Documented,1352-02-09T00:00:00Z,,"1351/2,  Thursday next after the Feast of the ,   urification of the Blessed Virgin Mary February 9",,chapter-house at Hereford,,"1351/2, Thursday next after the Feast of the ,  urification of the Blessed Virgin Mary February 9, LEASE"
HCM 2926,HCM 2926,MANDATE,London,Documented,1360-02-22T00:00:00Z,,"1359/60,  9 Kal,  March |February 22",,London,prob issued at London church of St Mary of Arches,"1359/60, 9 Kal, March |February 22,, MANDATE"
HCM 2926-em,HCM 2926-em,INHIBITION,London,Documented,1359-10-25T00:00:00Z,,"8 Kal,  November,  1359",,London,"(embedded doc), (embedded doc)","inhibition, & Kal, November, 1359"
HCM 2927,HCM 2927,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1347-11-16T00:00:00Z,,"1347,  November 16",,Hereford,,"1347, November 16,, NOTARIAL INSTRUMENT"
HCM 2932.C.,HCM 2932.C.,MEMORANDUM,Hereford Cathedral,Documented,1285-12-21T00:00:00Z,,"1285,  the Feast of St. Thomas the Apostle [December 21].",,cathedral church of Hereford,,"1285, the Feast of St. Thomas the Apostle [December 21]., MEMORANDUM"
HCM 2932.E,HCM 2932.E,INSPEXIMUS and CONFIRMATION,(Research),Unknown,1325-01-01T00:00:00Z,1375-12-31T00:00:00Z,mid 14th century,approx,,confirmation by Ed III of jury ruling RE property jurisdictions in Hereford,"?mid 14th century]., INSPEXIMUS"
HCM 2932.F,HCM 2932.F,EXEMPLIFICATION,Hereford,Documented,1355-03-04T00:00:00Z,,"1354/5,  March 4.",,Hereford,"doc made at request of Bp of H, RE juries in H ruling on properties in H","1354/5, March 4., EXEMPLIFICATION"
HCM 2933.C.,HCM 2933.C.,DUPLICATE,Hereford Cathedral,Documented,1285-12-21T00:00:00Z,,"1285,  the Feast of St. Thomas the Apostle [December 21].",,,duplicate of 2932.C,"1285, the Feast of St. Thomas the Apostle [December 21]., DUPLICATE"
HCM 2933.E,HCM 2933.E,DUPLICATE,(Research),Unknown,1325-01-01T00:00:00Z,1375-12-13T00:00:00Z,mid 14th century,approx,,duplicate of 2932.E,"?mid 14th century, DUPLICATE"
HCM 2933.F,HCM 2933.F,DUPLICATE,Hereford,Documented,1355-03-04T00:00:00Z,,"1354/5,  March 4.",,,duplicate of 2932.F,"1354/5, March 4., DUPLICATE"
HCM 2939.A.,HCM 2939.A.,ARBITRATION,Hereford Cathedral,Documented,1285-12-21T00:00:00Z,,"1285,  the Feast of St. Thomas the Apostle [December 21].",,cathedral church of Hereford,,"1285, the Feast of St. Thomas the Apostle [December 21]., ARBITRATION (?)"
HCM 294,HCM 294,COUNTERPART,Ledbury,Documented,1361-12-05T00:00:00Z,,"1361,  Sunday next after the Feast of St,  Andrew the Apostle |Decenber 5]",,,counterpart of HCM 292,"1361, Sunday next after the Feast of St, Andrew the Apostle |Decenber 5],"
HCM 2947.F.,HCM 2947.F.,MEMORANDUM,(Hereford),Suggested,1285-12-21T00:00:00Z,,"[1285,  December 21].",,,"dispute betw Bp of H, D&C, & citizens of H","[1285, December 21]., MEMORANDUM"
HCM 2947.G,HCM 2947.G,ROYAL CONFIRMATION,Windsor,Documented,1312-12-18T00:00:00Z,,"?1312 (6 Edward II?),  December 18.",,Windsor,,"?1312 (6 Edward II?), December 18., ROYAL CONFIRMATION"
HCM 2947.G-em,HCM 2947.G-em,ROYAL CONFIRMATION,(Research),Unknown,1334-07-15T00:00:00Z,,15 July 1334,,where was king 1334.07.15?,"(embedded doc)|PS the second instance of further confirmations (by RIchard II) can be ignored as it falls BEYOND OUR DATING PARAMETERS, date of embedded doc","further confirmations, 15 July 1334"
HCM 296,HCM 296,GRANT in fee-farm,(Hyde in Stanford-Bishop nr Bromyard),Suggested,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,Late 13th. ~ early 14th. century,approx,,"Stanford & Bromyard surnames; land in ""Netherida""","Late 13th. ~ early 14th. century, GRANT in fee-farm"
HCM 2972,HCM 2972,RECEIPT,Hereford,Documented,1328-02-12T00:00:00Z,,"1327/8,  February 12.",,Hereford,RECEIPT,"1327/8, February 12., RECBIPT"
HCM 2973,HCM 2973,BOND,chapter-house at Hereford,Documented,1341-12-15T00:00:00Z,,"1341,  Saturday next after the Feast of St. Lucia,  virgin | December 15].",,chapter-house at Nereford,,"1341, Saturday next after the Feast of St. Lucia, virgin | December 15]., BOND"
HCM 2988,HCM 2988,REMISSION,Hereford,Documented,1354-07-10T00:00:00Z,,"1354,  July 107.",,Hereford,approx date,"1354, July 107., REMISSION"
HCM 2990,HCM 2990,RECEIPT,Hereford,Documented,1325-06-02T00:00:00Z,,"1325,  Sunday the Feast of the Holy Trinity ivune 2].",,Hereford,,"1325, Sunday the Feast of the Holy Trinity ivune 2]., RECEIPT f"
HCM 2991,HCM 2991,APPOINTMENT,chapter-house at Hereford,Documented,1324-07-16T00:00:00Z,,"1324,  July 16",,chapter-house at Hereford,,"1324, July 16, APPOINTMENT"
HCM 2992,HCM 2992,DUPLICATE,chapter-house at Hereford,Documented,1324-07-16T00:00:00Z,,"1324,  July 16",,,how to handle?|duplicate of prev,"1324, July 16,, DUPLICATE"
HCM 2993,HCM 2993,CERTIFICATE,Hereford,Documented,1324-07-21T00:00:00Z,,"1324,  12 Kal. August | July 21.",latest date of embedded doc = 1324.07.17 (needs adding); no earliest date ,Hereford,embedded MANDATE needs adding|latest date of that = 1324.07.17 (no earliest date),"1324, 12 Kal. August | July 21., CERTIFICATE of execution"
HCM 2994,HCM 2994,NOTARIAL INSTRUMENT,Avignon residence of Guillelmus cardinal-priest of St Ciriac,Documented,1319-04-30T00:00:00Z,,"1319,  April 30",,— in the inn of the said cardinal,,"1319, April 30, NOTARIAL INSTRUMENT"
HCM 2995,HCM 2995,LETTER,Avignon,Documented,1317-07-17T00:00:00Z,,"[circa 1317],  15 Kal. July [June 17].","exact day, approx year",Avignon,,"[circa 1317], 15 Kal. July [June 17]., LETTER"
HCM 2996,HCM 2996,MEMORANDUM,Avignon,Documented,1317-12-21T00:00:00Z,,"1317,  December 21.",,Rome,"""Rome"" and ""Roman Court"" are metaphors that mean papal court at Avignon, given related docs on this topic with same principals","1317, December 21., MEMORANDUM"
HCM 2997,HCM 2997,NOTARIAL INSTRUMENT,(Dore Abbey),Suggested,1324-07-17T00:00:00Z,,"1324,  July 17.",,the monastery of Dora,"strange doc (a draft, unnamed notary) that relates events at Dore Abbey (but maybe from a contesting point of view?) ","1324, July 17., NOFaBLAL INSTRUMENT"
HCM 2998,HCM 2998,NOTARIAL INSTRUMENT,Avignon residence of John Ross,Documented,1324-06-01T00:00:00Z,,"1324,  June l",,? non in the lodging of the said goninus JOHN,,"1324, June l., NOTARTAL INSTRUMENT"
HCM 2999,HCM 2999,ROYAL WRIT,(Research),Unknown,1318-11-14T00:00:00Z,,"1318,  November 14",,,merge these possibly?|where was king on 1318.11.14?,"1318, November 14,, WRIT, Attached to No. 3000"
HCM 3,HCM 3,GRANT,Breinton,Documented,1299-11-15T00:00:00Z,,"1299,  Sunday next after the Feast   of st. Martin [November 15]",,Breynton,GRANT,"1299, Sunday next after the Feast   of st. Martin [November 15], orair/"
HCM 30,HCM 30,RELEASE,(Breinton),Suggested,1303-07-06T00:00:00Z,,"1303,  July 6",,,lands & people as in prev doc given at B.,"1303, July 6, RELZASE"
HCM 3000,HCM 3000,RECEIPT,Eaton Hall Leominster,Documented,1318-12-10T00:00:00Z,,"1318,  Sunday next after the Feast of the .   Conception of the Blessed Virgin Mary | December 10\.",,Etone near Leominster,seat of Hakluyt family,"1318, Sunday next after the Feast of the .   Conception of the Blessed Virgin Mary | December 10\., RECEIPT, Attached to No. 2999"
HCM 3001,HCM 3001,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1318-02-12T00:00:00Z,,"1317/8,  February 12.",,chapter-house of the said church,,"1317/8, February 12., NOTARIAL INSTRUMENT"
HCM 3002,HCM 3002,MEMORANDUM OF AGREEMENT,(chapter-house at Hereford),Suggested,1323-11-19T00:00:00Z,,"1323,  13 Kal. December,  i.e. November 19.",,,"cf HCM 1175, same date & business|but could be Avignon?","1323, 13 Kal. December, i.e. November 19., MEMORANDUM OF AGREEMENT"
HCM 3003,HCM 3003,DEFINITIVE SENTENCE,Hereford Cathedral,Documented,1324-08-25T00:00:00Z,,"1324,  Saturday,  August 25.",,* eee ehureh of Hereford,,"1324, Saturday, August 25., DEFINITIVE SENTENCE"
HCM 3003-em,HCM 3003-em,PAPAL MANDATE,Avignon,Documented,1324-05-11T00:00:00Z,,"5 Ides May,  1324",,Avignon,"(embedded doc), (embedded doc)","papal mandate, 5 Ides May, 1324"
HCM 3004,HCM 3004,LETTER,Avignon,Documented,1323-01-10T00:00:00Z,,"\oirea 1323|,  Monday next after Spiphany",,Avignon,"given the dating of this action at Avignon, consider whether other docs involving Schorne & Murimuth = likewise located?","\oirea 1323|, Monday next after Spiphany, LETTER"
HCM 3005.A,HCM 3005.A,APOSTOLIC LETTERS,(Avignon),Suggested,1324-05-11T00:00:00Z,,"1324,  5 Id,  may [May 11)",,,where is pope on 1324.5.11? (Avignon? Chateauneuf des Papes?),"1324, 5 Id, may [May 11),, APOSTOLIC L&TTERS"
HCM 3005.B,HCM 3005.B,APOSTOLIC LETTERS,(Avignon),Suggested,1324-05-11T00:00:00Z,,"1324,  5 id. May fimay 11",,,as prev,"1324, 5 id. May fimay 11, APOSTOLIC LETTERS"
HCM 3005.C,HCM 3005.C,DUPLICATE,Hereford,Documented,1324-07-21T00:00:00Z,,"1324,  12 Kal. August (July 21].",,,duplicate of HCM 2993,"1324, 12 Kal. August (July 21]., DUPLICATE"
HCM 3005.D,HCM 3005.D,DUPLICATE,chapter-house at Hereford,Documented,1324-07-16T00:00:00Z,,"1324,  July 16",,,duplicate of HCM 2991,"1324, July 16, DUPLICATE"
HCM 3005.E,HCM 3005.E,LETTER,Wigmore Abbey,Documented,1324-07-19T00:00:00Z,,"1324,  July 19",,monastery of Wyggemor',,"1324, July 19, LETTER"
HCM 3006,HCM 3006,NOTARIAL INSTRUMENT,Dore Abbey,Documented,1324-07-17T00:00:00Z,,"1324,  July 17.",,the monastery of Dora,,"1324, July 17., NOTARIAL INSTRUMENT d"
HCM 3007,HCM 3007,NOTARIAL INSTRUMENT,Avignon Palais des Papes gates,Documented,1322-04-23T00:00:00Z,,"1322,  April 23.",,gates of the holy palace the Pope,,"1322, April 23., NOTARIAL INSTRUMENT"
HCM 3008,HCM 3008,PLEADINGS,(chapter-house at Hereford),Suggested,1318-01-01T00:00:00Z,1324-12-31T00:00:00Z,[1318 - 1324].,approx,,pleadings of D&C of H,"[1318 - 1324]., PLEADINGS"
HCM 3009,HCM 3009,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1318-12-31T00:00:00Z,,"1318,  December 31, 5 Kal,  January bie",approx,chapter=house of the cat al church of Hereford,embedded doc (letters of proxy 1318.12.27?) needs adding & date of N.I. changing to 1318.12.31 exactly,"1318, December 31,, NOTARIAL INSTRUMENT, 5 Kal, January bie,"
HCM 3010,HCM 3010,LETTERS OF PROXY,Dore Abbey,Documented,1324-07-30T00:00:00Z,,"1324,  3 Kal. August | July 30.",,monastery of Dora,,"1324, 3 Kal. August | July 30., LETTERS OF PROXY"
HCM 3011,HCM 3011,RECEIPT,Hereford,Documented,1326-05-18T00:00:00Z,,"1326,  Sunday,  the Feast of the Holy .   trinity (May’18}.",,Hereford,,"1326, Sunday, the Feast of the Holy .   trinity (May’18}., RECEIPT"
HCM 3012,HCM 3012,NOTARIAL INSTRUMENT,Hereford Cathedral,Documented,1324-08-25T00:00:00Z,,"1324,  August 256",,,August 25,"1324, August 256, NOTARIAL INSTHUMENT"
HCM 3013,HCM 3013,NOTARIAL INSTRUMENT,Avignon,Documented,1319-04-25T00:00:00Z,,"1319,  April 25.",,Avignon,NOTARIAL INSTRUMENT,"1319, April 25., NOTARIAL LYSTRUMENT"
HCM 3014,HCM 3014,NOTARIAL INSTRUMENT,Avignon residence of Petrus cardinal-priest of St Stephen in Celiomonte,Documented,1322-04-07T00:00:00Z,,"1322,  April 7.",,Avignon,,"1322, April 7., NOTARIAL INSTRUMENT"
HCM 3015,HCM 3015,DEPOSITIONS,(Hereford),Suggested,1324-08-14T00:00:00Z,,"1324, Tuesday next after the Feast of St. Laurence the martyr i August 14].",,,all the deposed = HC based,"1324, Tuesday next after the Feast of St. Laurence the martyr i August 14]., DEPOSITIONS"
HCM 306,HCM 306,GRANT,(Sutton Herefordshire),Suggested,1320-01-01T00:00:00Z,1320-12-31T00:00:00Z,"|Early 14th century,  circa 1320|.",approx,,,"|Early 14th century, circa 1320|., GRANT"
HCM 307,HCM 307,GRANT,(Sutton Herefordshire),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,.ghrea 1300.,approx,,,".ghrea 1300., GRANT,"
HCM 308,HCM 308,INSPEXIMUS and CONFIRMATION,(Hereford),Suggested,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,Late 13th. - early 14th.century,approx,,INSPEXIMUS and confirmation|Hereford witn but also Stretton surnames,"Late 13th. - early 14th.century, INSPEAIMUS and confirmation"
HCM 308-em,HCM 308-em,CHARTER,(Hereford),Suggested,1275-01-01T00:00:00Z,1325-12-31T00:00:00Z,«Late 13th. - early 14th.century»,approx,,witn = Hereford citizens but several Stretton surnames,"«Late 13th. - early 14th.century», charter"
HCM 31,HCM 31,GRANT,(Breinton),Suggested,1290-01-01T00:00:00Z,1310-12-31T00:00:00Z,\gdrea 1300,approx,,people of Breynton & Hereford,"\gdrea 1300, GRANT"
HCM 3154,HCM 3154,NOTARIAL INSTRUMENT,(Hereford Cathedral),Suggested,1324-08-25T00:00:00Z,,"1324,  August 25.",,,"cf HCM 3003, same day & business","1324, August 25., NOTARIAL INSTRUMENT"
HCM 3155,HCM 3155,NOTARIAL INSTRUMENT,Bermondsey London,Documented,1314-06-05T00:00:00Z,1314-05-07T00:00:00Z,"1314,  June 5, 7 May 1314",approx,Bermundeseye,"date of notarized transcript of the archbishop's letter of 7 may 1314, date of letter copied into the Notarized transcript made on June 5","1314, June 5, NOTARIAL INSTRUMENT, 7 May 1314"
HCM 3155-em,HCM 3155-em,LETTER,(Research),Unknown,,1314-06-05T00:00:00Z,,,,where was pope? find date in HRS p.519-20,added manually
HCM 3155-em,HCM 3155-em,PAPAL LETTER,(Avignon),Suggested,,1314-06-04T18:09:24Z,,,,(embedded doc),letter
HCM 3157,HCM 3157,COMPOSITION,(Allensmore Herefordshire),Suggested,1349-03-16T00:00:00Z,,"1348/9,  Mareh 16.",,,parish elders of Allensmore,"1348/9, Mareh 16., COMPOSITION"
HCM 3158,HCM 3158,NOTARIAL INSTRUMENT,(Allensmore Herefordshire),Suggested,1349-03-16T00:00:00Z,,"1348/9,  March 16.",,,as above,"1348/9, March 16., NOTARIAL INSTRUMENT"
HCM 3161,HCM 3161,DECLARATION,(chapter-house at Hereford),Suggested,1352-01-01T00:00:00Z,1352-12-31T00:00:00Z,probably 1352.,"probable, approx",,chapter business (election of Dean),"probably 1352., DECLARATION"
HCM 3162,HCM 3162,NOTARIAL INSTRUMENT,(London),Suggested,1306-05-13T00:00:00Z,,"1306,  3 Ides May [May 13].",,,notary = of London,"1306, 3 Ides May [May 13]., NOTARIAL INSTRUMENT"
HCM 3162-em,HCM 3162-em,PAPAL BULL,Lyon Auvergne-Rhône-Alpes France,Documented,1306-01-01T00:00:00Z,,"kalends of January,  1305/06",,Lyons,"(embedded doc), (embedded doc)","papal bull, kalends of January, 1305/06"
HCM 3163,"RBLR 4202, HCM 3163",NOTARIAL INSTRUMENT,(Hereford residence of Roger de Breynton),Suggested,1342-04-09T00:00:00Z,,"1342,  April oe",,,"April 9, NOTARIAL INSTRUMENT|see other receipts to Racy family|secondary option Bosbury","1342, April oe, WOTARIAL INSTRUMENT"
HCM 3165,HCM 3165,NOTARIAL INSTRUMENT,chapter-house at Hereford,Documented,1317-12-06T00:00:00Z,,"1317,  December 6",,chapter-house of the cathedral church of Hereford,,"1317, December 6, NOTARIAL INSTRUMENT"
HCM 3169,HCM 3169,COMMONPLACE BOOK,(Research),Unknown,1300-01-01T00:00:00Z,1399-12-31T00:00:00Z,? 14th century,approx,,maybe unknowable; order it up?,"? 14th century, COMMONPLACE BOOK"
HCM 3178,HCM 3178,BOND,Hereford,Documented,1333-01-30T00:00:00Z,,"1532/3,  January 50",,Hereford,"1332/3, January 30","1532/3, January 50,, BOND"
HCM 3180,HCM 3180,LEASE,chapter-house at Hereford,Documented,1312-03-31T00:00:00Z,,"1312,  Friday next after the Feast of the Annunciation of the Blessed Mary [March 31]",,chapter-house at Hereford,,"1312, Friday next after the Feast of the Annunciation of the Blessed Mary [March 31], LEASE"
